ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta
0,NACIONAL,2018,427721.0,6398.0,112714.0,1946.0,13465.0,22376.0,26279.0,120859.0,53687.0,21689.0,1826.0,5205.0,13941.0,7.0,630.0,843.0,10088.0,15768.0,46729000,25727
1,Andalucía,2018,72806.0,1176.0,18261.0,297.0,2268.0,2447.0,4221.0,22706.0,8375.0,4028.0,304.0,882.0,2360.0,1.0,142.0,148.0,2709.0,2481.0,8406000,19107
2,Aragón,2018,14100.0,239.0,3610.0,44.0,448.0,723.0,918.0,4292.0,1613.0,754.0,28.0,292.0,499.0,0.0,14.0,26.0,105.0,495.0,1315000,28151
3,Asturias,2018,13238.0,215.0,3641.0,52.0,412.0,784.0,669.0,3882.0,1612.0,606.0,52.0,179.0,450.0,0.0,9.0,22.0,153.0,500.0,1024000,22789
4,Baleares,2018,8206.0,159.0,2297.0,34.0,307.0,405.0,568.0,2311.0,869.0,419.0,30.0,88.0,279.0,0.0,14.0,11.0,78.0,337.0,1175000,27682
5,Canarias,2018,16310.0,260.0,4516.0,49.0,578.0,722.0,745.0,4648.0,2292.0,822.0,97.0,115.0,507.0,0.0,43.0,39.0,236.0,641.0,2188000,20892
6,Cantabria,2018,6096.0,64.0,1707.0,25.0,145.0,550.0,382.0,1590.0,780.0,267.0,17.0,82.0,146.0,0.0,6.0,13.0,129.0,193.0,580000,23757
7,Castilla y León,2018,29297.0,401.0,7782.0,164.0,1084.0,1314.0,1563.0,8238.0,3903.0,1574.0,182.0,415.0,1023.0,2.0,23.0,39.0,465.0,1125.0,2410000,24031
8,Castilla La Mancha,2018,19574.0,224.0,4929.0,115.0,636.0,1030.0,1140.0,5319.0,2836.0,1067.0,115.0,238.0,732.0,0.0,20.0,33.0,434.0,706.0,2030000,20363
9,Cataluña,2018,66562.0,1049.0,17656.0,296.0,2262.0,4485.0,4668.0,17335.0,7932.0,3299.0,215.0,1118.0,2097.0,0.0,92.0,131.0,1057.0,2870.0,7516000,30426
10,Valencia,2018,45330.0,767.0,11662.0,224.0,1763.0,2027.0,3196.0,13016.0,5529.0,2139.0,186.0,497.0,1568.0,0.0,58.0,74.0,1150.0,1474.0,4948000,22426
11,Extremadura,2018,11451.0,163.0,3089.0,45.0,323.0,559.0,659.0,3300.0,1513.0,561.0,49.0,138.0,387.0,0.0,19.0,24.0,325.0,297.0,1067000,18769
12,Galicia,2018,32419.0,352.0,8446.0,160.0,672.0,2518.0,1696.0,9652.0,4242.0,1563.0,150.0,203.0,950.0,2.0,27.0,56.0,561.0,1169.0,2699000,23183
13,Madrid,2018,46599.0,663.0,12992.0,215.0,1112.0,2209.0,2683.0,11665.0,6916.0,2363.0,216.0,439.0,1535.0,0.0,86.0,100.0,1860.0,1545.0,6586000,35041
14,Murcia,2018,11327.0,176.0,2802.0,56.0,397.0,455.0,855.0,3214.0,1562.0,599.0,74.0,115.0,497.0,0.0,20.0,30.0,84.0,391.0,1479000,21269
15,Navarra,2018,5819.0,63.0,1556.0,31.0,176.0,388.0,543.0,1544.0,677.0,272.0,31.0,73.0,172.0,0.0,8.0,15.0,16.0,254.0,646000,31389
16,Euskadi,2018,21763.0,311.0,6359.0,113.0,658.0,1525.0,1440.0,5793.0,2328.0,1009.0,56.0,265.0,586.0,1.0,26.0,51.0,507.0,735.0,2172000,33223
17,La Rioja,2018,3205.0,48.0,849.0,14.0,110.0,181.0,228.0,985.0,365.0,152.0,15.0,35.0,84.0,0.0,4.0,6.0,26.0,103.0,312000,27225
18,Ceuta,2018,535.0,7.0,135.0,3.0,22.0,24.0,36.0,146.0,53.0,27.0,2.0,6.0,23.0,0.0,1.0,0.0,27.0,23.0,84000,20120
19,Melilla,2018,516.0,11.0,136.0,3.0,33.0,14.0,27.0,134.0,58.0,28.0,3.0,5.0,16.0,1.0,4.0,7.0,22.0,14.0,84000,18533
0,NACIONAL,2017,424523.0,6819.0,113266.0,1973.0,13296.0,21722.0,26345.0,122465.0,51615.0,20447.0,1691.0,5070.0,13188.0,13.0,629.0,814.0,9333.0,15837.0,46532000,24969
1,Andalucía,2017,71234.0,1245.0,18132.0,323.0,2220.0,2325.0,3992.0,22907.0,7851.0,3857.0,264.0,872.0,2233.0,0.0,132.0,163.0,2266.0,2452.0,8402000,18501
2,Aragón,2017,14208.0,187.0,3839.0,40.0,489.0,749.0,897.0,4311.0,1641.0,732.0,21.0,317.0,416.0,1.0,16.0,20.0,55.0,477.0,1315000,27115
3,Asturias,2017,13152.0,162.0,3626.0,57.0,347.0,741.0,708.0,3970.0,1579.0,611.0,55.0,182.0,358.0,0.0,14.0,20.0,173.0,549.0,1030000,21981
4,Baleares,2017,8353.0,186.0,2306.0,33.0,355.0,376.0,551.0,2391.0,841.0,366.0,45.0,96.0,293.0,0.0,25.0,3.0,109.0,377.0,1158000,27134
5,Canarias,2017,15254.0,291.0,4407.0,68.0,576.0,580.0,770.0,4247.0,2010.0,700.0,92.0,112.0,464.0,1.0,32.0,36.0,252.0,616.0,2163000,20457
6,Cantabria,2017,5958.0,67.0,1683.0,17.0,95.0,584.0,378.0,1636.0,752.0,218.0,13.0,81.0,150.0,1.0,5.0,11.0,90.0,177.0,580000,22767
7,Castilla y León,2017,28979.0,479.0,7744.0,140.0,1035.0,1234.0,1660.0,8473.0,3779.0,1403.0,169.0,373.0,935.0,0.0,32.0,39.0,443.0,1041.0,2423000,23169
8,Castilla La Mancha,2017,20208.0,182.0,4947.0,111.0,737.0,1073.0,1196.0,5496.0,3018.0,1110.0,105.0,237.0,712.0,0.0,28.0,40.0,444.0,772.0,2033000,19632
9,Cataluña,2017,66165.0,1035.0,17551.0,332.0,2361.0,4764.0,5019.0,17465.0,7435.0,3072.0,167.0,978.0,2031.0,4.0,94.0,103.0,917.0,2837.0,7450000,29722
10,Valencia,2017,44804.0,810.0,11778.0,215.0,1538.0,1951.0,3155.0,13507.0,4877.0,2043.0,185.0,490.0,1501.0,1.0,64.0,84.0,1128.0,1477.0,4929000,21859
11,Extremadura,2017,11585.0,158.0,3043.0,35.0,298.0,452.0,600.0,3433.0,1670.0,597.0,45.0,109.0,451.0,0.0,17.0,9.0,343.0,325.0,1073000,18170
12,Galicia,2017,31962.0,433.0,8692.0,187.0,758.0,2292.0,1545.0,9677.0,3978.0,1473.0,141.0,204.0,902.0,0.0,19.0,59.0,444.0,1158.0,2703000,22411
13,Madrid,2017,47069.0,836.0,13257.0,203.0,1123.0,2104.0,2775.0,11862.0,7008.0,2206.0,229.0,407.0,1512.0,3.0,82.0,85.0,1789.0,1588.0,6504000,34041
14,Murcia,2017,11522.0,172.0,2958.0,45.0,427.0,467.0,796.0,3379.0,1527.0,597.0,71.0,145.0,416.0,0.0,25.0,36.0,75.0,386.0,1473000,20766
15,Navarra,2017,5844.0,70.0,1587.0,35.0,206.0,372.0,564.0,1583.0,645.0,253.0,24.0,83.0,135.0,0.0,4.0,16.0,18.0,249.0,641000,30508
16,Euskadi,2017,21634.0,382.0,6356.0,101.0,552.0,1420.0,1425.0,5758.0,2345.0,920.0,49.0,312.0,554.0,0.0,21.0,58.0,556.0,825.0,2167000,32167
17,La Rioja,2017,3052.0,57.0,818.0,14.0,89.0,190.0,207.0,941.0,329.0,131.0,12.0,47.0,70.0,0.0,3.0,7.0,27.0,110.0,312000,26528
18,Ceuta,2017,560.0,17.0,149.0,2.0,26.0,17.0,30.0,176.0,54.0,28.0,0.0,5.0,20.0,0.0,2.0,6.0,10.0,18.0,85000,19537
19,Melilla,2017,494.0,18.0,131.0,5.0,24.0,16.0,28.0,116.0,60.0,11.0,0.0,7.0,17.0,1.0,6.0,4.0,28.0,22.0,84000,17934
0,NACIONAL,2016,410611.0,7033.0,112939.0,1886.0,12700.0,20980.0,25236.0,119778.0,46812.0,20096.0,1523.0,4256.0,12173.0,15.0,637.0,846.0,8033.0,15668.0,46449000,23979
1,Andalucía,2016,69231.0,1288.0,17636.0,321.0,2157.0,2542.0,4037.0,22237.0,7295.0,3812.0,237.0,789.0,2045.0,2.0,139.0,150.0,2086.0,2458.0,8403000,17659
2,Aragón,2016,13481.0,157.0,3843.0,38.0,293.0,799.0,798.0,4225.0,1377.0,717.0,25.0,270.0,414.0,0.0,18.0,29.0,44.0,434.0,1316000,25985
3,Asturias,2016,13204.0,178.0,3677.0,60.0,384.0,743.0,657.0,4284.0,1452.0,551.0,42.0,159.0,341.0,1.0,6.0,24.0,127.0,518.0,1037000,20920
4,Baleares,2016,7939.0,226.0,2219.0,36.0,304.0,397.0,469.0,2293.0,792.0,348.0,30.0,81.0,267.0,0.0,23.0,16.0,98.0,340.0,1143000,26093
5,Canarias,2016,15035.0,342.0,4368.0,51.0,626.0,560.0,710.0,4242.0,1925.0,698.0,76.0,122.0,444.0,1.0,30.0,37.0,213.0,590.0,2142000,19612
6,Cantabria,2016,5936.0,57.0,1820.0,11.0,59.0,622.0,364.0,1586.0,710.0,262.0,9.0,67.0,117.0,0.0,3.0,13.0,37.0,199.0,581000,21905
7,Castilla y León,2016,28436.0,518.0,7857.0,133.0,1071.0,1162.0,1583.0,8307.0,3517.0,1463.0,145.0,367.0,848.0,0.0,22.0,46.0,403.0,994.0,2444000,22408
8,Castilla La Mancha,2016,19144.0,219.0,4963.0,113.0,668.0,978.0,1098.0,5239.0,2650.0,1030.0,119.0,226.0,659.0,1.0,20.0,32.0,375.0,754.0,2043000,18752
9,Cataluña,2016,63289.0,1043.0,17645.0,293.0,2120.0,4346.0,4862.0,16906.0,6611.0,3039.0,170.0,489.0,1830.0,2.0,94.0,108.0,771.0,2960.0,7416000,28680
10,Valencia,2016,42697.0,828.0,11853.0,220.0,1405.0,1777.0,2879.0,13000.0,4379.0,1928.0,173.0,477.0,1408.0,1.0,69.0,94.0,803.0,1403.0,4927000,20948
11,Extremadura,2016,11237.0,166.0,3110.0,42.0,314.0,393.0,545.0,3362.0,1506.0,598.0,39.0,99.0,370.0,0.0,12.0,22.0,336.0,323.0,1081000,17117
12,Galicia,2016,31757.0,400.0,8705.0,168.0,837.0,2336.0,1655.0,9971.0,3448.0,1463.0,145.0,168.0,917.0,0.0,39.0,50.0,183.0,1272.0,2713000,21482
13,Madrid,2016,45066.0,904.0,12934.0,197.0,1125.0,1898.0,2609.0,11443.0,6530.0,2086.0,190.0,400.0,1338.0,2.0,88.0,120.0,1699.0,1503.0,6445000,32840
14,Murcia,2016,10867.0,172.0,2965.0,46.0,362.0,407.0,729.0,3229.0,1372.0,540.0,40.0,109.0,380.0,1.0,25.0,34.0,81.0,375.0,1468000,19997
15,Navarra,2016,5727.0,76.0,1618.0,28.0,213.0,388.0,479.0,1511.0,611.0,278.0,18.0,100.0,130.0,0.0,6.0,13.0,19.0,239.0,638000,29375
16,Euskadi,2016,21224.0,337.0,6321.0,99.0,583.0,1412.0,1438.0,5726.0,2064.0,937.0,56.0,270.0,534.0,2.0,24.0,37.0,596.0,788.0,2165000,31004
17,La Rioja,2016,2967.0,42.0,852.0,10.0,81.0,178.0,231.0,873.0,285.0,147.0,4.0,41.0,78.0,1.0,3.0,4.0,28.0,109.0,312000,25636
18,Ceuta,2016,508.0,15.0,139.0,3.0,28.0,20.0,28.0,139.0,52.0,26.0,1.0,5.0,13.0,0.0,2.0,1.0,16.0,20.0,84000,19316
19,Melilla,2016,486.0,11.0,134.0,5.0,25.0,10.0,26.0,134.0,51.0,21.0,0.0,6.0,15.0,1.0,5.0,3.0,22.0,17.0,84000,17783
0,NACIONAL,2015,422568.0,7567.0,111381.0,2028.0,14065.0,21333.0,25835.0,124197.0,51848.0,20360.0,1563.0,4148.0,12169.0,15.0,674.0,802.0,9504.0,15079.0,46410000,23219
1,Andalucía,2015,72001.0,1450.0,17461.0,355.0,2460.0,2536.0,4124.0,23523.0,8468.0,3794.0,230.0,742.0,2033.0,1.0,145.0,160.0,2284.0,2235.0,8398000,17235
2,Aragón,2015,14339.0,221.0,3719.0,68.0,565.0,811.0,857.0,4532.0,1564.0,693.0,47.0,237.0,382.0,0.0,17.0,29.0,127.0,470.0,1321000,24874
3,Asturias,2015,13550.0,180.0,3603.0,52.0,374.0,843.0,675.0,4388.0,1617.0,624.0,50.0,144.0,348.0,1.0,5.0,27.0,119.0,500.0,1044000,20471
4,Baleares,2015,8322.0,246.0,2198.0,31.0,383.0,334.0,533.0,2418.0,927.0,355.0,21.0,87.0,272.0,1.0,16.0,15.0,125.0,360.0,1129000,25002
5,Canarias,2015,15110.0,288.0,4270.0,64.0,929.0,563.0,737.0,4092.0,1954.0,720.0,74.0,112.0,437.0,0.0,26.0,31.0,197.0,616.0,2127000,19065
6,Cantabria,2015,6041.0,72.0,1745.0,17.0,95.0,510.0,363.0,1647.0,795.0,294.0,8.0,72.0,114.0,0.0,12.0,7.0,109.0,181.0,583000,21122
7,Castilla y León,2015,29302.0,504.0,7867.0,170.0,1172.0,1329.0,1632.0,8724.0,3743.0,1353.0,157.0,416.0,839.0,1.0,26.0,40.0,436.0,893.0,2464000,21603
8,Castilla La Mancha,2015,19923.0,229.0,4914.0,109.0,676.0,1030.0,1213.0,5589.0,2868.0,1079.0,96.0,207.0,688.0,1.0,23.0,31.0,422.0,748.0,2054000,18069
9,Cataluña,2015,64866.0,1023.0,17415.0,364.0,1841.0,4549.0,4866.0,17927.0,7088.0,3285.0,187.0,459.0,1903.0,4.0,94.0,122.0,838.0,2901.0,7396000,27630
10,Valencia,2015,44351.0,950.0,11618.0,194.0,1480.0,2048.0,3081.0,13451.0,5148.0,1990.0,167.0,454.0,1389.0,2.0,63.0,74.0,822.0,1420.0,4931000,20301
11,Extremadura,2015,11519.0,153.0,3307.0,32.0,325.0,401.0,587.0,3513.0,1491.0,557.0,35.0,125.0,339.0,0.0,24.0,22.0,339.0,269.0,1087000,16460
12,Galicia,2015,31688.0,517.0,8283.0,175.0,1056.0,2156.0,1532.0,9523.0,3977.0,1434.0,146.0,193.0,829.0,0.0,33.0,50.0,542.0,1242.0,2725000,20794
13,Madrid,2015,46859.0,952.0,12781.0,191.0,1200.0,1901.0,2548.0,12119.0,7340.0,2055.0,177.0,413.0,1409.0,2.0,102.0,86.0,2155.0,1428.0,6401000,31907
14,Murcia,2015,11233.0,205.0,2884.0,48.0,420.0,415.0,800.0,3282.0,1553.0,576.0,48.0,87.0,413.0,1.0,28.0,27.0,87.0,359.0,1464000,19462
15,Navarra,2015,5680.0,70.0,1626.0,23.0,242.0,340.0,464.0,1498.0,634.0,252.0,25.0,85.0,132.0,0.0,9.0,10.0,19.0,251.0,636000,28520
16,Euskadi,2015,21511.0,363.0,6377.0,109.0,669.0,1361.0,1460.0,5791.0,2124.0,973.0,81.0,249.0,526.0,0.0,28.0,45.0,676.0,679.0,2163000,30046
17,La Rioja,2015,3093.0,57.0,859.0,10.0,88.0,164.0,261.0,948.0,286.0,145.0,4.0,40.0,64.0,0.0,3.0,3.0,32.0,129.0,312000,25453
18,Ceuta,2015,504.0,16.0,136.0,2.0,23.0,21.0,23.0,142.0,54.0,23.0,3.0,6.0,10.0,0.0,6.0,2.0,16.0,21.0,84000,18907
19,Melilla,2015,516.0,14.0,116.0,2.0,32.0,14.0,29.0,140.0,54.0,29.0,4.0,6.0,19.0,1.0,7.0,8.0,27.0,14.0,84000,17257
0,NACIONAL,2014,395830.0,6508.0,110278.0,1784.0,13013.0,18706.0,23394.0,117393.0,43841.0,19385.0,1318.0,3679.0,11530.0,9.0,778.0,828.0,8483.0,14903.0,46455000,22218
1,Andalucía,2014,66322.0,1255.0,17088.0,279.0,2039.0,2293.0,3750.0,21995.0,6861.0,3515.0,238.0,635.0,1863.0,6.0,191.0,156.0,1806.0,2352.0,8390000,16413
2,Aragón,2014,13742.0,209.0,3793.0,67.0,555.0,756.0,787.0,4191.0,1379.0,652.0,31.0,253.0,395.0,1.0,16.0,23.0,180.0,454.0,1328000,24308
3,Asturias,2014,12812.0,167.0,3548.0,48.0,356.0,772.0,685.0,4070.0,1382.0,585.0,24.0,133.0,368.0,0.0,9.0,22.0,123.0,520.0,1054000,19594
4,Baleares,2014,7847.0,157.0,2117.0,42.0,298.0,397.0,469.0,2288.0,778.0,368.0,35.0,105.0,263.0,0.0,17.0,15.0,143.0,355.0,1120000,23892
5,Canarias,2014,14331.0,261.0,4230.0,67.0,1360.0,472.0,698.0,3488.0,1688.0,587.0,63.0,124.0,454.0,0.0,24.0,43.0,208.0,564.0,2118000,18536
6,Cantabria,2014,5899.0,111.0,1710.0,19.0,88.0,341.0,316.0,1629.0,738.0,269.0,25.0,44.0,173.0,0.0,7.0,9.0,139.0,281.0,586000,20568
7,Castilla y León,2014,27787.0,444.0,7911.0,133.0,1180.0,1128.0,1516.0,8268.0,3165.0,1386.0,105.0,384.0,734.0,0.0,28.0,53.0,373.0,979.0,2485000,20737
8,Castilla La Mancha,2014,18379.0,218.0,4859.0,79.0,614.0,882.0,1087.0,5251.0,2410.0,959.0,96.0,203.0,595.0,0.0,23.0,36.0,345.0,722.0,2067000,17099
9,Cataluña,2014,61319.0,1043.0,17231.0,363.0,1724.0,3955.0,4590.0,16929.0,6282.0,3016.0,145.0,365.0,1772.0,1.0,110.0,109.0,936.0,2748.0,7399000,26403
10,Valencia,2014,41550.0,670.0,11474.0,180.0,1417.0,2022.0,2882.0,12748.0,4125.0,1951.0,150.0,445.0,1328.0,0.0,74.0,77.0,660.0,1347.0,4947000,19469
11,Extremadura,2014,10799.0,167.0,3015.0,35.0,301.0,288.0,554.0,3428.0,1229.0,588.0,33.0,114.0,329.0,0.0,14.0,34.0,388.0,282.0,1093000,15564
12,Galicia,2014,29929.0,419.0,8233.0,185.0,744.0,1947.0,1405.0,9586.0,3274.0,1404.0,140.0,171.0,727.0,0.0,23.0,44.0,361.0,1266.0,2739000,19782
13,Madrid,2014,43064.0,696.0,12916.0,112.0,964.0,1453.0,1949.0,11446.0,6274.0,1993.0,116.0,273.0,1399.0,1.0,150.0,80.0,1971.0,1271.0,6376000,30574
14,Murcia,2014,10397.0,186.0,2859.0,43.0,390.0,343.0,695.0,3051.0,1265.0,558.0,38.0,76.0,406.0,0.0,33.0,26.0,74.0,354.0,1462000,18260
15,Navarra,2014,5511.0,76.0,1646.0,24.0,221.0,279.0,410.0,1481.0,598.0,283.0,10.0,73.0,117.0,0.0,10.0,27.0,44.0,212.0,636000,27524
16,Euskadi,2014,20166.0,320.0,6359.0,75.0,588.0,1188.0,1290.0,5395.0,1873.0,948.0,59.0,219.0,490.0,0.0,17.0,50.0,590.0,705.0,2165000,28946
17,La Rioja,2014,2886.0,30.0,786.0,14.0,89.0,170.0,240.0,889.0,278.0,137.0,3.0,44.0,69.0,0.0,3.0,5.0,19.0,110.0,314000,24471
18,Ceuta,2014,509.0,16.0,134.0,3.0,23.0,3.0,23.0,170.0,43.0,34.0,1.0,3.0,15.0,0.0,5.0,1.0,10.0,25.0,84000,18236
19,Melilla,2014,485.0,15.0,126.0,3.0,20.0,8.0,24.0,150.0,47.0,26.0,0.0,3.0,11.0,0.0,6.0,4.0,24.0,18.0,84000,16684
0,NACIONAL,2013,390419.0,6209.0,111021.0,1639.0,12206.0,16977.0,21486.0,117484.0,42565.0,19378.0,1290.0,3361.0,11689.0,18.0,713.0,758.0,8947.0,14678.0,46593000,21899
1,Andalucía,2013,65690.0,1110.0,17424.0,245.0,1796.0,2000.0,3423.0,21674.0,6796.0,3689.0,241.0,646.0,2032.0,6.0,184.0,129.0,1988.0,2307.0,8387000,16221
2,Aragón,2013,13353.0,192.0,3764.0,49.0,484.0,626.0,669.0,4215.0,1261.0,711.0,23.0,243.0,352.0,2.0,13.0,23.0,320.0,406.0,1334000,24041
3,Asturias,2013,12722.0,147.0,3620.0,33.0,356.0,713.0,674.0,4174.0,1300.0,538.0,40.0,125.0,337.0,1.0,8.0,17.0,109.0,530.0,1062000,19518
4,Baleares,2013,7660.0,143.0,2083.0,32.0,270.0,339.0,444.0,2346.0,755.0,373.0,28.0,64.0,254.0,0.0,19.0,16.0,165.0,329.0,1112000,23304
5,Canarias,2013,13621.0,233.0,4270.0,50.0,1251.0,477.0,661.0,3112.0,1544.0,611.0,46.0,111.0,442.0,1.0,19.0,37.0,178.0,578.0,2108000,18512
6,Cantabria,2013,5603.0,148.0,1685.0,16.0,65.0,378.0,278.0,1579.0,623.0,232.0,27.0,12.0,169.0,0.0,10.0,6.0,82.0,293.0,588000,20159
7,Castilla y León,2013,27507.0,434.0,8083.0,124.0,1060.0,1042.0,1382.0,8290.0,3079.0,1350.0,117.0,313.0,726.0,1.0,35.0,43.0,457.0,971.0,2506000,20550
8,Castilla La Mancha,2013,18228.0,201.0,4889.0,74.0,730.0,747.0,979.0,5424.0,2181.0,929.0,85.0,187.0,580.0,0.0,30.0,35.0,352.0,805.0,2083000,17351
9,Cataluña,2013,60807.0,1054.0,17479.0,351.0,1858.0,3756.0,4273.0,17026.0,6126.0,2973.0,121.0,383.0,1610.0,4.0,92.0,127.0,912.0,2662.0,7443000,25795
10,Valencia,2013,40519.0,595.0,11440.0,200.0,1349.0,1848.0,2516.0,12690.0,4088.0,1942.0,146.0,328.0,1327.0,2.0,53.0,78.0,622.0,1295.0,4967000,18987
11,Extremadura,2013,11043.0,169.0,3225.0,35.0,264.0,287.0,499.0,3421.0,1391.0,556.0,26.0,122.0,381.0,0.0,11.0,16.0,361.0,279.0,1098000,15532
12,Galicia,2013,30433.0,375.0,8442.0,145.0,485.0,1781.0,1288.0,10264.0,3228.0,1480.0,149.0,152.0,978.0,0.0,26.0,36.0,483.0,1121.0,2753000,19586
13,Madrid,2013,42393.0,763.0,12890.0,125.0,913.0,1204.0,1940.0,11149.0,6035.0,1994.0,106.0,257.0,1387.0,1.0,128.0,72.0,2112.0,1317.0,6392000,30131
14,Murcia,2013,10115.0,172.0,2731.0,45.0,385.0,316.0,533.0,3106.0,1252.0,493.0,37.0,75.0,455.0,0.0,39.0,34.0,100.0,342.0,1461000,18181
15,Navarra,2013,5323.0,66.0,1587.0,22.0,127.0,208.0,384.0,1572.0,552.0,280.0,23.0,72.0,140.0,0.0,6.0,15.0,45.0,224.0,637000,27060
16,Euskadi,2013,19720.0,312.0,6142.0,73.0,640.0,1096.0,1223.0,5419.0,1875.0,942.0,59.0,221.0,402.0,0.0,27.0,45.0,499.0,745.0,2170000,28387
17,La Rioja,2013,2871.0,39.0,804.0,10.0,86.0,123.0,240.0,917.0,261.0,136.0,9.0,34.0,61.0,0.0,3.0,9.0,27.0,112.0,316000,23796
18,Ceuta,2013,531.0,14.0,138.0,2.0,30.0,10.0,24.0,174.0,47.0,24.0,2.0,4.0,16.0,0.0,4.0,4.0,20.0,18.0,84000,18365
19,Melilla,2013,461.0,12.0,107.0,1.0,34.0,18.0,24.0,139.0,35.0,27.0,1.0,7.0,19.0,0.0,2.0,3.0,23.0,9.0,83000,16613
0,NACIONAL,2012,402950.0,6520.0,110993.0,1555.0,12824.0,17145.0,22089.0,122097.0,47336.0,19797.0,1306.0,3766.0,11839.0,10.0,829.0,823.0,10017.0,14004.0,46766000,22048
1,Andalucía,2012,68361.0,1091.0,17677.0,238.0,1950.0,2104.0,3452.0,22745.0,7816.0,3806.0,214.0,637.0,2059.0,1.0,177.0,165.0,1894.0,2335.0,8383000,16462
2,Aragón,2012,13724.0,189.0,3735.0,59.0,478.0,647.0,678.0,4265.0,1530.0,682.0,42.0,272.0,378.0,0.0,20.0,18.0,345.0,386.0,1340000,23840
